,sample_id,ground_truth,prediction
0,normal_0125,0,0.95665205_0.04334802
1,normal_10,0,0.98141104_0.018588925
2,normal_0073,0,0.9988036_0.0011963905
3,normal_0100,0,0.9745145_0.025485523
4,normal_0042,0,0.9934422_0.0065578157
5,HG0359358,1,0.0004890286_0.999511
6,HG0411910,1,0.0059753777_0.9940247
7,Z00466531,1,0.09661055_0.90338945
8,Z00356022,1,0.000103899976_0.99989605
9,Z00419159,1,0.02071348_0.9792865
10,Z00473631,1,0.00044067725_0.99955934
11,normal_13,0,0.980823_0.019177038
12,normal_0065,0,0.99064285_0.009357136
13,D30470065,1,0.016571809_0.9834282
14,D01865359,1,0.018145217_0.9818548
15,normal_0180,0,0.99904364_0.0009563066
16,normal_0186,0,0.99940467_0.0005952867
17,normal_0166,0,0.9976981_0.0023018213
18,D23672750,1,0.0747212_0.9252788
19,normal_0012,0,0.9990664_0.0009336563
20,normal_7,0,0.97747463_0.022525413
21,HG0656782,1,0.0012618342_0.9987382
22,Z00270821,1,0.002833993_0.997166
23,D05900297,1,0.011041584_0.98895836
24,HG1130678,1,0.002980708_0.9970193
25,normal_0221,0,0.6653644_0.33463562
26,normal_0188,0,0.9956548_0.004345139
27,normal_0420,0,0.9805119_0.019488072
28,normal_0193,0,0.9863085_0.0136915585
29,normal_0030,0,0.9994949_0.00050509797
30,normal_0114,0,0.999752_0.00024798312
31,D24261507,1,0.005696728_0.99430335
0,normal_0133,0,0.9891754_0.010824573
1,D08169364,1,5.270236e-05_0.9999473
2,D23805007,1,0.0002335254_0.9997665
3,D24261507,1,0.00038288257_0.9996171
4,normal_0087,0,0.9359708_0.06402925
5,normal_0101,0,0.99962914_0.00037082148
6,normal_2,0,0.96219194_0.03780805
7,normal_0212,0,0.97083426_0.02916572
8,normal_0192,0,0.97608_0.023920026
9,normal_0065,0,0.99279284_0.007207146
10,normal_0461,0,0.9382118_0.06178822
11,normal_0080,0,0.9859_0.014100032
12,normal_0127,0,0.9934697_0.0065303124
13,normal_0223,0,0.9788983_0.021101736
14,D02236386,1,0.0010859753_0.998914
15,normal_0223,0,0.95890915_0.04109087
16,normal_0041,0,0.997718_0.0022820092
17,normal_0180,0,0.9909966_0.0090033645
18,normal_0168,0,0.7724601_0.2275399
19,normal_1,0,0.9688158_0.03118414
20,normal_0413,0,0.9961312_0.0038688104
21,normal_0004,0,0.934967_0.06503296
22,normal_0083,0,0.95172405_0.04827599
23,normal_6,0,0.9320172_0.067982815
24,Z00473126,1,0.008358077_0.9916419
25,HG1130678,1,0.001558326_0.99844164
26,D24291220,1,0.00933302_0.9906669
27,D08142364,1,0.00037017447_0.99962986
28,normal_0129,0,0.92416775_0.07583221
29,normal_0179,0,0.9895208_0.010479188
30,normal_0004,0,0.9476166_0.05238346
31,D0211686X,1,6.546578e-06_0.99999344
0,HG0775378,1,0.08102417_0.91897583
1,normal_0090,0,0.9733237_0.026676325
2,normal_0420,0,0.987053_0.012947033
3,Z00480052,1,0.00019365914_0.99980634
4,normal_16,0,0.9782728_0.02172715
5,normal_0121,0,0.9301826_0.06981741
6,normal_1,0,0.984347_0.015653044
7,normal_16,0,0.8232379_0.17676215
8,normal_0090,0,0.9036062_0.09639378
9,normal_0098,0,0.9977976_0.0022023972
10,Z00480584,1,0.0018786249_0.9981213
11,Z00288756,1,0.0003011801_0.9996989
12,normal_0083,0,0.98172724_0.018272744
13,Z00480584,1,0.00066519465_0.99933475
14,normal_1,0,0.9918435_0.008156489
15,normal_0145,0,0.9959294_0.004070559
16,normal_0322,0,0.9993358_0.00066410354
17,normal_0325,0,0.99968266_0.00031732087
18,normal_4,0,0.56264776_0.43735227
19,normal_0202,0,0.988988_0.01101196
20,D08142364,1,0.0005428668_0.9994572
21,Z00398330,1,0.0008908342_0.9991091
22,D24291220,1,0.010111885_0.98988813
23,normal_0121,0,0.9560367_0.043963302
24,normal_0085,0,0.99689_0.0031100211
25,normal_0167,0,0.999723_0.00027691244
26,D0215927X,1,7.4907066e-06_0.9999925
27,normal_0203,0,0.98875076_0.0112492815
28,normal_0145,0,0.9960961_0.0039039948
29,normal_0032,0,0.99842936_0.0015705993
30,Z00466214,1,0.0013646985_0.99863523
31,HG0775378,1,0.011110486_0.98888946
0,Z00309741,1,0.00086500216_0.9991351
1,normal_0117,0,0.9633866_0.036613397
2,Z00482791,1,0.021113116_0.97888684
3,normal_0075,0,0.98995435_0.010045681
4,normal_9,0,0.96469706_0.035302904
5,D23608580,1,0.040933058_0.959067
6,D02098446,1,0.018860929_0.9811391
7,D05652748,1,0.00088722573_0.9991128
8,normal_0093,0,0.9960504_0.003949546
9,normal_0044,0,0.9979311_0.002068932
10,HG1130678,1,0.0057845498_0.9942154
11,normal_0332,0,0.98747116_0.012528793
12,normal_0025,0,0.99130064_0.00869936
13,D02236386,1,0.0024306697_0.99756926
14,W13591971,1,0.002959903_0.9970401
15,normal_0115,0,0.988641_0.0113590155
16,normal_0159,0,0.99246985_0.0075302343
17,normal_0129,0,0.9792541_0.020745879
18,normal_6,0,0.9962132_0.0037868388
19,normal_0174,0,0.9489272_0.0510727
20,normal_7,0,0.9712951_0.028704852
21,HG0656782,1,0.0008686363_0.9991314
22,normal_0179,0,0.9993994_0.0006005736
23,normal_0339,0,0.990137_0.00986296
24,D06114132,1,4.478211e-06_0.99999547
25,normal_0448,0,0.9737371_0.02626291
26,normal_0096,0,0.99847585_0.001524091
27,D30462145,1,0.0001794917_0.99982053
28,normal_6,0,0.98706937_0.012930646
29,normal_0134,0,0.9741882_0.02581181
30,normal_0044,0,0.99017406_0.009825977
31,normal_0004,0,0.91896987_0.0810301
0,normal_0093,0,0.9995067_0.00049327954
1,normal_0096,0,0.9997644_0.00023556621
2,D30840695,1,0.09917916_0.9008209
3,Z00305664,1,0.01517705_0.984823
4,80146759,1,0.010160316_0.9898397
5,normal_5,0,0.96043307_0.03956693
6,D56116603,1,0.007522349_0.9924777
7,Z00480584,1,0.01313532_0.9868646
8,D23830579,1,0.00014852728_0.99985147
9,normal_0198,0,0.9912066_0.00879337
10,normal_0057,0,0.9980312_0.0019687554
11,D28369865,1,0.0072234124_0.99277663
12,normal_0042,0,0.9973145_0.0026854682
13,normal_0413,0,0.99578613_0.0042138086
14,normal_0097,0,0.9902626_0.009737406
15,normal_0072,0,0.9966403_0.0033597192
16,normal_0096,0,0.99879944_0.0012005211
17,normal_12,0,0.98107105_0.018928947
18,normal_16,0,0.9781252_0.02187485
19,D23672750,1,0.044893987_0.95510596
20,D31151840,1,0.0074963523_0.99250364
21,Z00420210,1,0.0012914864_0.9987085
22,Z00318833,1,1.9483217e-05_0.99998057
23,normal_0322,0,0.99943227_0.0005677216
24,normal_0039,0,0.9654487_0.03455127
25,normal_0061,0,0.99311674_0.006883282
26,80146759,1,0.010763406_0.98923665
27,Z00469237,1,0.10709314_0.89290684
28,normal_0174,0,0.99498206_0.0050180065
29,Z00466613,1,0.18057556_0.81942445
30,Z00472104,1,0.0023912145_0.9976088
31,normal_0087,0,0.99258065_0.0074193776
0,Z00464066,1,0.0047204252_0.99527955
1,D30470065,1,0.12283163_0.8771684
2,Z00318833,1,0.00038311043_0.99961686
3,normal_0349,0,0.99865204_0.0013479667
4,Z00466214,1,0.049259845_0.9507402
5,HG0640457,1,0.0004762457_0.99952376
6,W13591971,1,0.32034132_0.67965865
7,D31151840,1,0.5747803_0.42521968
8,Z00288756,1,0.0006231044_0.99937695
9,normal_0115,0,0.99944896_0.0005510516
10,Z00415455,1,0.005031127_0.99496883
11,normal_0133,0,0.99820685_0.0017931192
12,normal_0072,0,0.9999385_6.148878e-05
13,normal_0168,0,0.99667823_0.003321736
14,normal_3,0,0.9702561_0.029743962
15,normal_1,0,0.995509_0.004491032
16,D32185663,1,0.0007116881_0.9992884
17,normal_0114,0,0.99730897_0.0026910743
18,Z00473293,1,0.041759763_0.9582403
19,D23805007,1,0.008579971_0.99142003
20,normal_0221,0,0.9331419_0.06685813
21,normal_0198,0,0.9978422_0.0021577505
22,Z00480052,1,0.0038530496_0.9961469
23,normal_0384,0,0.9995011_0.00049888884
24,normal_0134,0,0.9991678_0.0008322202
25,Z00419159,1,0.11248647_0.8875136
26,Z00357569,1,0.04418387_0.9558162
27,D02098446,1,0.24262948_0.7573705
28,normal_0050,0,0.9905501_0.009449884
29,normal_0150,0,0.9984541_0.0015458527
30,normal_0159,0,0.9994667_0.0005332693
31,Z00415455,1,0.006475179_0.9935248
0,D28781577,1,0.008251973_0.991748
1,normal_0073,0,0.9937738_0.006226156
2,normal_0044,0,0.9970228_0.0029772115
3,D02185144,1,6.944975e-05_0.9999305
4,normal_0166,0,0.9966144_0.003385554
5,D31151840,1,0.0035832976_0.9964167
6,Z00415455,1,0.0021678456_0.9978321
7,Z00307452,1,0.16649789_0.8335021
8,normal_0148,0,0.99087626_0.009123697
9,Z00318833,1,0.00016793289_0.99983203
10,normal_0175,0,0.98871744_0.011282523
11,HG0775378,1,0.16364273_0.83635724
12,D29346032,1,0.00034664417_0.99965334
13,normal_0034,0,0.9973314_0.002668611
14,normal_0180,0,0.99995744_4.2510143e-05
15,Z00383232,1,0.0017953996_0.9982046
16,normal_0313,0,0.9685287_0.031471346
17,normal_0167,0,0.99948585_0.00051412435
18,normal_0093,0,0.98728627_0.012713788
19,normal_0057,0,0.9982369_0.0017631174
20,normal_0144,0,0.96197844_0.038021583
21,Z00307452,1,0.19249785_0.80750215
22,normal_0202,0,0.9851281_0.014871884
23,D05900297,1,0.19170038_0.80829966
24,normal_0311,0,0.97792983_0.022070106
25,normal_0196,0,0.9896153_0.010384638
26,Z00288756,1,0.0007390132_0.99926096
27,normal_0193,0,0.9871071_0.012892844
28,80140865,1,0.000105768624_0.99989426
29,Z00482791,1,0.10791386_0.89208615
30,normal_17,0,0.9954209_0.0045791324
31,normal_0123,0,0.9996086_0.00039141608
0,D02236386,1,0.0002354546_0.9997645
1,normal_0171,0,0.9942983_0.0057017915
2,normal_0058,0,0.99516726_0.004832771
3,D30743879,1,0.0011065702_0.99889344
4,normal_0097,0,0.9794642_0.020535858
5,normal_0088,0,0.9983747_0.0016252169
6,normal_0192,0,0.9991597_0.00084025774
7,normal_0009,0,0.9774524_0.022547632
8,normal_0384,0,0.99660254_0.003397421
9,normal_0133,0,0.987519_0.012480928
10,Z00288756,1,0.00077956147_0.9992204
11,Z00419159,1,0.07928865_0.9207114
12,Z00415455,1,0.00061650045_0.99938345
13,normal_0246,0,0.99921584_0.00078416744
14,normal_0107,0,0.99749917_0.0025008759
15,Z00358778,1,0.0002601599_0.9997398
16,D05900297,1,0.039537154_0.96046287
17,Z00473126,1,0.0032059543_0.99679404
18,normal_0464,0,0.9992791_0.000720883
19,D02225257,1,0.0009471266_0.9990528
20,normal_0192,0,0.97876966_0.021230364
21,normal_0118,0,0.9915677_0.008432377
22,normal_0090,0,0.94502777_0.054972198
23,normal_0083,0,0.99950874_0.00049127964
24,D29346032,1,0.005477098_0.9945229
25,Z00408675,1,0.0008902878_0.9991097
26,normal_0159,0,0.99459606_0.005403944
27,D30470065,1,0.002063365_0.9979366
28,D23608580,1,0.03806824_0.9619318
29,normal_0203,0,0.98940593_0.010594044
30,HG0775378,1,0.06319867_0.9368013
31,normal_0024,0,0.9871306_0.012869442
0,W13591971,1,0.069279455_0.93072057
1,Z00480584,1,0.00036423033_0.9996358
2,D30840695,1,0.06940375_0.9305963
3,normal_0202,0,0.9978933_0.002106801
4,normal_0146,0,0.9960484_0.003951573
5,normal_0085,0,0.9941691_0.005830907
6,normal_0072,0,0.9983423_0.0016577156
7,normal_0034,0,0.99850625_0.0014937632
8,normal_16,0,0.9573844_0.042615555
9,normal_0050,0,0.93084925_0.06915067
10,normal_0024,0,0.9935242_0.006475762
11,W13591971,1,0.0009498593_0.9990501
12,Z00480584,1,0.000662465_0.9993375
13,normal_0246,0,0.9990208_0.0009791394
14,D32172117,1,0.0041361833_0.9958638
15,normal_0134,0,0.99782926_0.002170779
16,HG0359358,1,0.0014947676_0.99850523
17,normal_0044,0,0.99857044_0.001429542
18,normal_0087,0,0.99323845_0.0067615514
19,D05900297,1,0.006620709_0.99337924
20,normal_0164,0,0.8541106_0.14588945
21,Z00466531,1,0.17444779_0.8255522
22,normal_0146,0,0.9980215_0.0019784989
23,D30840695,1,0.2504534_0.74954665
24,normal_0046,0,0.98074317_0.019256879
25,normal_0146,0,0.9883159_0.011684085
26,Z00466214,1,0.016550306_0.98344976
27,D02185144,1,2.3349687e-05_0.99997663
28,Z00350398,1,0.02382856_0.97617143
29,normal_0083,0,0.9987739_0.001226139
30,D56116603,1,0.0009764941_0.99902356
31,HG0411910,1,0.0009713768_0.9990287
0,normal_0146,0,0.9825546_0.017445462
1,Z00383232,1,0.000724368_0.9992756
2,normal_0177,0,0.99655044_0.003449518
3,normal_0118,0,0.9874008_0.012599142
4,normal_0201,0,0.9962345_0.003765485
5,HG0656782,1,8.3479565e-05_0.99991655
6,normal_4,0,0.8679514_0.13204855
7,normal_0163,0,0.9991849_0.0008150347
8,normal_0175,0,0.9942063_0.0057937065
9,normal_0413,0,0.990424_0.009576056
10,HG0656782,1,2.8629584e-05_0.9999714
11,D02225257,1,0.0002500327_0.99974996
12,Z00472104,1,0.00034289146_0.99965715
13,Z00482791,1,0.010812113_0.9891879
14,normal_0098,0,0.99697423_0.0030258065
15,D23672750,1,0.017132891_0.9828672
16,normal_0073,0,0.99677247_0.0032274935
17,Z00307452,1,0.008446434_0.9915536
18,normal_0041,0,0.998147_0.0018529958
19,normal_0075,0,0.9994242_0.00057586125
20,normal_0041,0,0.9902519_0.00974805
21,normal_0339,0,0.9933143_0.0066856463
22,80139062,1,0.0030677598_0.99693227
23,normal_0313,0,0.87521267_0.12478729
24,D08169364,1,0.00027411184_0.9997259
25,normal_0081,0,0.9523756_0.047624435
26,normal_0009,0,0.949863_0.05013696
27,Z00466613,1,0.029911466_0.97008854
28,normal_0088,0,0.9924206_0.007579328
29,Z00469237,1,0.1282045_0.8717955
30,normal_0088,0,0.99967766_0.00032236276
31,normal_0065,0,0.988096_0.01190403
0,normal_2,0,0.9956631_0.0043369057
1,normal_0114,0,0.98856795_0.011432084
2,normal_0311,0,0.95398146_0.046018537
3,Z00305664,1,0.0020907838_0.9979091
4,normal_0198,0,0.9992422_0.00075779937
5,Z00281063,1,0.01625898_0.98374104
6,normal_0032,0,0.99945086_0.00054913573
7,HG0640457,1,0.0028860935_0.99711394
8,Z00281063,1,0.08386886_0.91613114
9,normal_0171,0,0.98942834_0.010571697
10,Z00374375,1,0.0008916092_0.9991084
11,D06114132,1,2.1801104e-06_0.99999785
12,D28781577,1,0.0010881802_0.99891186
13,normal_0186,0,0.9978497_0.002150282
14,Z00358778,1,0.009207178_0.9907928
15,normal_12,0,0.94785297_0.052146956
16,normal_0140,0,0.99756086_0.0024391415
17,normal_0077,0,0.99688464_0.003115312
18,normal_0121,0,0.96877193_0.031228075
19,normal_0171,0,0.99665725_0.0033427416
20,D32172117,1,0.0041317013_0.9958683
21,Z00469237,1,0.18134333_0.8186567
22,Z00469237,1,0.095329024_0.904671
23,HG0411910,1,0.0016049355_0.998395
24,normal_0123,0,0.996558_0.0034419894
25,D01909534,1,0.0255536_0.9744465
26,normal_0013,0,0.99196434_0.008035708
27,normal_0096,0,0.99779487_0.0022051593
28,normal_0313,0,0.8961177_0.10388225
29,normal_0359,0,0.989499_0.010500999
30,normal_0201,0,0.9979626_0.0020373904
31,Z00472552,1,0.0046649277_0.99533504
0,normal_0199,0,0.9987081_0.0012919276
1,normal_0065,0,0.9981001_0.0018998998
2,Z00419159,1,0.055740546_0.9442594
3,normal_0118,0,0.99905354_0.00094648666
4,normal_0133,0,0.9942068_0.0057931975
5,normal_0339,0,0.9992017_0.0007983035
6,normal_0177,0,0.9992223_0.0007776738
7,normal_0177,0,0.99969935_0.0003006697
8,D05900297,1,0.13992555_0.86007446
9,normal_0164,0,0.98439527_0.015604677
10,Z00383232,1,0.0011644629_0.9988355
11,Z00309741,1,0.0069484035_0.99305165
12,normal_0384,0,0.99266475_0.0073352465
13,D02098446,1,0.0073915166_0.9926085
14,normal_0313,0,0.9064396_0.093560405
15,normal_0150,0,0.9938123_0.006187699
16,normal_0042,0,0.9978915_0.0021085117
17,D0211686X,1,3.3108752e-06_0.99999666
18,Z00466214,1,0.035904698_0.96409535
19,normal_0034,0,0.98607045_0.013929566
20,normal_13,0,0.9899456_0.010054381
21,Z00288756,1,0.00065587356_0.99934417
22,normal_0034,0,0.9941492_0.005850809
23,Z00350398,1,0.004251412_0.9957486
24,normal_0178,0,0.99568945_0.004310507
25,Z00281063,1,0.31606665_0.6839333
26,HG0359358,1,0.0010999977_0.99889994
27,Z00420210,1,0.0013822332_0.99861777
28,normal_9,0,0.9863246_0.0136753265
29,HG1130678,1,0.0029086787_0.9970913
30,normal_4,0,0.9411892_0.058810726
31,D0215927X,1,0.0035723199_0.9964277
0,normal_0121,0,0.968488_0.03151201
1,normal_9,0,0.97517174_0.02482818
2,T00174812,1,0.013322534_0.9866774
3,D23608580,1,0.06752453_0.93247545
4,D01909534,1,0.008916279_0.99108374
5,D0211686X,1,2.4043908e-05_0.9999759
6,normal_0098,0,0.99894243_0.0010575585
7,80140865,1,0.00056948623_0.9994305
8,Z00472104,1,0.011763965_0.988236
9,D01909534,1,0.2684732_0.7315268
10,normal_0117,0,0.99953747_0.00046257736
11,normal_0196,0,0.9565184_0.04348161
12,normal_0186,0,0.99804366_0.0019562703
13,Z00408675,1,0.007995685_0.99200433
14,normal_0145,0,0.9983693_0.0016307413
15,normal_0145,0,0.9973218_0.0026782944
16,normal_4,0,0.6575791_0.3424209
17,HG0640457,1,0.0014471131_0.99855286
18,normal_11,0,0.9777996_0.022200452
19,normal_0212,0,0.99160236_0.008397661
20,Z00356022,1,0.0017530518_0.998247
21,normal_0199,0,0.99720335_0.0027966897
22,normal_7,0,0.9864488_0.013551156
23,normal_0167,0,0.9999639_3.6097324e-05
24,normal_5,0,0.86338294_0.13661702
25,normal_0122,0,0.995849_0.0041509653
26,normal_0359,0,0.998728_0.001272006
27,D56116603,1,0.005643179_0.9943568
28,Z00473631,1,0.013501757_0.98649824
29,Z00356022,1,0.0004003486_0.99959964
30,normal_0080,0,0.99843186_0.0015680873
31,normal_0039,0,0.99453247_0.005467472
0,D30470065,1,0.0011149156_0.9988851
1,Z00350398,1,0.024647862_0.97535217
2,normal_0163,0,0.9971027_0.0028973017
3,normal_0073,0,0.9925505_0.007449522
4,80146759,1,0.000964668_0.99903536
5,normal_0223,0,0.9657806_0.03421939
6,normal_0050,0,0.82132167_0.17867832
7,normal_0013,0,0.8740387_0.12596135
8,normal_0332,0,0.9148411_0.085158914
9,normal_0192,0,0.97389853_0.0261014
10,D31151840,1,0.0014335997_0.99856645
11,normal_0148,0,0.9936388_0.0063611707
12,normal_0100,0,0.9741974_0.025802685
13,D28369865,1,0.00057893404_0.9994211
14,Z00309741,1,0.00074357324_0.99925643
15,normal_0065,0,0.97531664_0.024683302
16,normal_5,0,0.86166686_0.13833314
17,Z00472104,1,0.00010702657_0.99989295
18,normal_7,0,0.9690025_0.030997494
19,normal_0042,0,0.9971934_0.0028066307
20,normal_0461,0,0.8239253_0.17607468
21,Z00281063,1,0.0073668645_0.99263316
