,sample_id,ground_truth,prediction
0,normal_0101,0,0.9994531_0.0005468761
1,D02098446,1,5.5871173e-05_0.9999441
2,normal_0354,0,0.999326_0.00067406107
3,normal_8,0,0.99945384_0.0005461734
4,Z00466214,1,0.015035977_0.9849641
5,normal_0003,0,0.99461406_0.0053858953
6,HG1130678,1,0.00084255_0.9991574
7,Z00307452,1,0.0560593_0.94394064
8,D06164607,1,3.1484436e-05_0.9999685
9,normal_0205,0,0.99395627_0.0060437135
10,Z00468243,1,0.0028135292_0.9971865
11,normal_5,0,0.85697526_0.14302467
12,normal_0227,0,0.99938536_0.0006146207
13,normal_0124,0,0.81922305_0.18077697
14,normal_0124,0,0.7929378_0.20706224
15,Z00457765,1,0.002170471_0.9978295
16,normal_0167,0,0.99688137_0.0031186263
17,normal_0354,0,0.9881207_0.011879327
18,normal_0170,0,0.9908008_0.009199234
19,normal_0131,0,0.9976597_0.002340287
20,Z00466531,1,0.003165701_0.99683434
21,D08142516,1,0.00012236241_0.9998776
22,normal_0130,0,0.9963391_0.003660893
23,normal_0143,0,0.96954155_0.030458461
24,normal_0099,0,0.9595183_0.04048165
25,Z00399518,1,0.006131751_0.9938683
26,normal_5,0,0.9302344_0.06976558
27,normal_1,0,0.98337895_0.016620984
28,normal_0081,0,0.95197785_0.048022177
29,D31151840,1,0.0024880383_0.997512
30,normal_0198,0,0.9882406_0.011759476
31,normal_13,0,0.9215021_0.07849784
0,normal_0046,0,0.98407125_0.01592877
1,normal_0039,0,0.9849716_0.0150284
2,Z00408100,1,0.004344857_0.9956552
3,Z00318833,1,0.0003665345_0.99963343
4,HG1130678,1,0.0022348335_0.9977652
5,normal_0133,0,0.9884243_0.011575616
6,normal_15,0,0.6572643_0.34273574
7,Z00455583,1,0.041435216_0.95856476
8,normal_0096,0,0.99500954_0.004990513
9,normal_0004,0,0.9725496_0.02745034
10,normal_0212,0,0.990325_0.009674993
11,D02098446,1,0.0051661623_0.9948338
12,HG0359358,1,0.0011468863_0.9988531
13,Z00473631,1,0.00021557417_0.9997844
14,normal_0205,0,0.9895919_0.010408168
15,Z00408100,1,0.007336059_0.992664
16,normal_0185,0,0.99370134_0.0062986854
17,normal_0470,0,0.99808705_0.0019129605
18,normal_0460,0,0.9961791_0.0038208792
19,normal_0025,0,0.9957599_0.0042401515
20,Z00479791,1,5.789969e-05_0.99994206
21,D44570219,1,0.000824027_0.99917597
22,normal_0212,0,0.9862022_0.013797818
23,Z00372503,1,0.0008019762_0.999198
24,normal_0114,0,0.9990822_0.00091774133
25,normal_0095,0,0.98441154_0.015588393
26,normal_0026,0,0.99726045_0.002739527
27,normal_0205,0,0.999223_0.000777042
28,Z00466531,1,0.041790947_0.9582091
29,D0215927X,1,0.01003352_0.9899665
30,normal_0136,0,0.9959229_0.004077059
31,normal_12,0,0.98702955_0.012970448
0,normal_0174,0,0.98659617_0.013403805
1,Z00410561,1,0.0023898748_0.9976101
2,Z00399518,1,0.00068174844_0.99931824
3,HG0766148,1,0.0018104257_0.9981896
4,Z00369113,1,2.4911817e-05_0.9999751
5,80140112,1,0.00211237_0.9978877
6,D23830579,1,0.0005581633_0.9994418
7,normal_0349,0,0.99458873_0.005411256
8,normal_0384,0,0.9993449_0.00065513514
9,Z00350398,1,0.085853286_0.9141467
10,Z00482791,1,0.0071793017_0.9928207
11,normal_0039,0,0.98041874_0.019581202
12,normal_0063,0,0.97845596_0.021544062
13,normal_0101,0,0.9996499_0.00035014705
14,normal_0117,0,0.9952254_0.0047745425
15,normal_0176,0,0.9934002_0.0065998435
16,normal_0185,0,0.9941398_0.005860269
17,Z00372503,1,0.00876427_0.99123573
18,normal_0183,0,0.98704755_0.012952476
19,normal_0346,0,0.9967669_0.0032331191
20,Z00476547,1,0.00043747746_0.99956256
21,normal_0203,0,0.939658_0.060342032
22,normal_17,0,0.9812184_0.018781547
23,D30470065,1,0.026052698_0.9739473
24,normal_0185,0,0.9913052_0.008694773
25,normal_0002,0,0.9946519_0.0053480836
26,normal_0005,0,0.99503076_0.004969191
27,Z00466613,1,0.094348274_0.9056517
28,D23979736,1,0.031457383_0.96854264
29,normal_0058,0,0.9945503_0.0054496704
30,normal_8,0,0.9982516_0.001748335
31,normal_0112,0,0.9745984_0.025401564
0,normal_15,0,0.97136456_0.028635474
1,normal_0157,0,0.99731135_0.0026887106
2,Z00318833,1,0.0038100304_0.99618995
3,normal_0063,0,0.99021286_0.009787143
4,normal_0143,0,0.996494_0.0035059997
5,normal_0309,0,0.9963504_0.0036496194
6,normal_0143,0,0.9965412_0.0034587295
7,D24128247,1,0.0033694087_0.9966306
8,D23608580,1,0.007956818_0.9920432
9,Z00477106,1,0.00022798938_0.999772
10,D23830579,1,0.0007148566_0.99928516
11,80140865,1,0.0056385547_0.9943614
12,normal_0131,0,0.9933477_0.0066522383
13,normal_0060,0,0.98987526_0.010124742
14,normal_0099,0,0.9937848_0.006215196
15,normal_0055,0,0.99994934_5.067873e-05
16,normal_0460,0,0.9921261_0.007873815
17,normal_0121,0,0.9722693_0.02773072
18,D44570219,1,0.0075806268_0.9924193
19,HG1047858,1,0.027574014_0.97242594
20,Z00372503,1,0.02266483_0.9773351
21,HG0384836,1,0.008197503_0.9918025
22,normal_0167,0,0.99965596_0.00034402343
23,Z00374375,1,0.0063394713_0.9936605
24,normal_0070,0,0.99076194_0.0092380615
25,Z00477106,1,0.0006430091_0.99935704
26,HG1324042,1,0.011104611_0.9888954
27,D28369865,1,0.068495944_0.9315041
28,HG0640457,1,0.0014735779_0.99852633
29,normal_0174,0,0.99953663_0.00046341194
30,normal_0048,0,0.9937092_0.006290755
31,normal_0087,0,0.9997482_0.00025179487
0,normal_0005,0,0.9938611_0.00613891
1,normal_0136,0,0.9755672_0.024432795
2,Z00350398,1,0.009270869_0.99072915
3,D01909534,1,0.00026841502_0.9997316
4,normal_13,0,0.90977186_0.09022807
5,normal_0005,0,0.9823094_0.017690608
6,D31151840,1,0.009073497_0.9909265
7,normal_0183,0,0.97845435_0.02154565
8,normal_0197,0,0.99061406_0.009385942
9,D31151840,1,0.03190112_0.9680989
10,normal_0051,0,0.98814267_0.011857293
11,normal_0058,0,0.9908494_0.009150592
12,Z00479791,1,6.318079e-05_0.9999368
13,normal_0464,0,0.99854517_0.0014548864
14,normal_0120,0,0.99823296_0.0017670669
15,normal_8,0,0.9980817_0.0019183279
16,D23786264,1,0.0027367314_0.9972633
17,normal_0044,0,0.9537408_0.04625922
18,Z00466214,1,0.005122286_0.9948777
19,normal_0138,0,0.9949751_0.0050249486
20,Z00318833,1,0.000111047215_0.9998889
21,normal_0133,0,0.98261595_0.01738412
22,T00174812,1,7.170016e-05_0.99992824
23,normal_16,0,0.9185158_0.08148423
24,80140865,1,3.5810826e-05_0.99996424
25,normal_0052,0,0.9669215_0.033078417
26,normal_0044,0,0.9883928_0.011607188
27,Z00482791,1,0.0011402152_0.99885976
28,normal_0120,0,0.9986512_0.0013488625
29,normal_0174,0,0.9539924_0.046007577
30,normal_0170,0,0.9896375_0.010362492
31,normal_0046,0,0.936463_0.06353696
0,D0215927X,1,0.00028834955_0.9997116
1,Z00477802,1,0.0035645694_0.9964354
2,normal_0090,0,0.9606006_0.039399393
